ID,Datei,Zeile,Kategorie,Problem,Severity,Aufwand (h),Beschreibung,Fix
1.1a,SettingsDialog.xaml,15-80,Fehlende Styles,PrimaryButton Style dupliziert,HIGH,2,"Button-Style mit ControlTemplate 30+ Zeilen identisch zu 3 anderen Dateien","Alle Styles in App.xaml zentralisieren, nur $StaticResource referenzieren"
1.1b,InputDialog.xaml,16-78,Fehlende Styles,PrimaryButton Style dupliziert,HIGH,2,"Button-Style mit ControlTemplate identisch zu SettingsDialog & DeviceDetailWindow","Zentral in App.xaml definieren"
1.1c,DeviceDetailWindow.xaml,17-76,Fehlende Styles,Button Styles dupliziert,HIGH,2,"ActionButtonStyle, PrimaryButtonStyle, SecondaryButtonStyle identisch zu anderen","Zentral in App.xaml definieren"
1.2a,SettingsDialog.xaml,89-102,Fehlende Styles,SectionHeader, Label Styles,MEDIUM,1,"SectionHeader, SettingLabel, TextBox, CheckBox, ComboBox Styles lokal definiert","In App.xaml oder Styles.xaml ressourcen zentralisieren"
1.2b,DeviceDetailWindow.xaml,79-99,Fehlende Styles,SectionHeader, Label, Value Styles,MEDIUM,1,"SectionHeaderStyle, LabelStyle, ValueStyle, StatusBadgeStyle lokal definiert","In zentralem ResourceDictionary zusammenfassen"
1.3,MainWindow.xaml + AlertsPanel.xaml,235-244 & 67-135,Fehlende Styles,DataGrid ElementStyles dupliziert,MEDIUM,1.5,"ElementStyle für DataGridTextColumns mit FontWeight, Padding, Foreground mehrfach","Zentrale DataGridColumnStyles erstellen (HeaderStyle, ValueStyle, CenteredStyle)"
2.1a,MainWindow.xaml,34-62,Duplizierte XAML,Toolbar/Menu-Bar Layout Pattern,MEDIUM,1,"Border + StackPanel mit Buttons als Toolbar häufig wiederholt","Toolbar-UserControl oder ItemsControl-Template erstellen"
2.1b,Preview/PreviewTabControl.xaml,17-47,Duplizierte XAML,Toolbar Layout ähnlich,MEDIUM,1,"Border mit Buttons und Status-Text Layout ähnlich zu MainWindow Toolbar","Template für Toolbar-Pattern verwenden"
2.1c,Scheduling/SchedulingTabControl.xaml,19-27,Duplizierte XAML,Toolbar Button Layout,MEDIUM,1,"Add/Refresh Buttons in Border ähnlich zu anderen Toolbars","Zentrale Toolbar-Definition nutzen"
2.1d,DataSources/DataSourcesTabControl.xaml,19-27,Duplizierte XAML,Toolbar mit Add Button,MEDIUM,1,"Add/Add Static Buttons ähnlich Pattern","Toolbar-Template verwenden"
2.1e,AlertsPanel.xaml,34-51,Duplizierte XAML,Alert Rules Toolbar,MEDIUM,1,"New Rule, Edit, Delete, Test Buttons in Border-StackPanel","Toolbar-Template verwenden"
2.2a,MainWindow.xaml,281-297,Duplizierte XAML,Status Bar mit Text + Controls,LOW,0.5,"Border mit StatusBar Design (grau, dünn Separator)","StatusBar-Template erstellen oder Style"
2.2b,MainWindow.xaml,380-395,Duplizierte XAML,Status Bar Duplikation im gleichen File,LOW,0.5,"Zweiter Status Bar mit identischem Design im Live Debug Tab","Design-Pattern auslagern"
2.2c,DeviceDetailWindow.xaml,379-407,Duplizierte XAML,Status Bar ähnlich,LOW,0.5,"Status Bar mit Auto-refresh Checkbox und Text","Zentrale StatusBar-Definition nutzen"
2.3a,DataSources/DataSourcesTabControl.xaml,106-162,Duplizierte XAML,Query Builder Border-Box,LOW,1,"Border mit Info-Box Design (hellgrau Background, DarkTheme Border)","InfoBoxStyle erstellen"
2.3b,Scheduling/SchedulingTabControl.xaml,238-263,Duplizierte XAML,Conflicts Warning Border-Box,LOW,1,"Border mit gelber Hintergrund und Warning-Text (ähnlich Pattern)","WarningBoxStyle erstellen"
2.3c,Scheduling/SchedulingTabControl.xaml,266-291,Duplizierte XAML,Schedule Preview Border-Box,LOW,1,"Border mit blauem Design für Preview-Info","InfoBoxStyle verwenden"
3.1a,MainWindow.xaml,153-161,Performance Bindings,ComboBox ohne UpdateSourceTrigger,MEDIUM,0.5,"AvailableClients ComboBox aktualisiert erst bei LostFocus, nicht PropertyChanged","UpdateSourceTrigger=PropertyChanged für Such-/Filter-Felder"
3.1b,MainWindow.xaml,166-180,Performance Bindings,ComboBox ohne UpdateSourceTrigger,MEDIUM,0.5,"Source Filter ComboBox mit Text-Binding, aber kein PropertyChanged für Echtzeitsuche","Text={Binding SourceFilter, UpdateSourceTrigger=PropertyChanged}"
3.2a,Alle Files,Multiple,Performance Bindings,TextBlock Bindings ohne explizites Mode,LOW,1,"TextBlocks mit ReadOnly-Daten haben kein explizites Mode=OneWay","Mode=OneWay explizit setzen für Lesbarkeit & Dokumentation"
4.1a,Scheduling/SchedulingTabControl.xaml,29-45,Fehlende Virtualization,Schedule List ListBox ohne Virtualization,HIGH,1.5,"ListBox mit ItemsSource bindet alle Items ohne Virtualization, kann >100 Items haben","VirtualizingPanel.IsVirtualizing=True, VirtualizationMode=Recycling"
4.1b,Scheduling/SchedulingTabControl.xaml,209-231,Fehlende Virtualization,Selected Devices ListBox ohne Virtualization,HIGH,1.5,"ListBox mit SelectedDevices kann mehrere Items haben, keine Virtualization","VirtualizingPanel.IsVirtualizing=True, VirtualizationMode=Recycling"
4.2,LayoutManager/LayoutManagerTabControl.xaml,43-59,Fehlende Virtualization,DataGrid ohne Virtualization Config,HIGH,1,"DataGrid mit Layouts, kein EnableRowVirtualization oder VirtualizationMode gesetzt","EnableRowVirtualization=True, VirtualizingPanel.VirtualizationMode=Recycling"
4.3a,Alerts/AlertsPanel.xaml,54-137,Fehlende Virtualization,Alert Rules DataGrid fehlt VirtualizationMode,MEDIUM,1,"DataGrid hat kein explizites VirtualizationMode=Recycling, nur IsVirtualizing","VirtualizingPanel.VirtualizationMode=Recycling hinzufügen"
4.3b,Alerts/AlertsPanel.xaml,203-311,Fehlende Virtualization,Active Alerts DataGrid fehlt VirtualizationMode,MEDIUM,1,"DataGrid hat kein explizites VirtualizationMode=Recycling für Memory-Optimierung","VirtualizingPanel.VirtualizationMode=Recycling hinzufügen"
5.1,Alle XAML-Dateien,Multiple,Hardcoded Values,Magic Margins überall (500+ Stellen),MEDIUM,10-15,"Margin='12', Margin='8', Margin='0,0,0,12', etc. überall statt zentrale Resources","Spacing-Konstanten definieren: Spacing.Small=4, Spacing.Medium=8, etc."
5.2,Alle XAML-Dateien,Multiple,Hardcoded Values,Hardcoded Farben (100+ Stellen),MEDIUM,8-10,"#2196F3, #CCCCCC, #F5F5F5, #666666, etc. in Views statt nur Ressourcen","Zentrale Farbpalette in Theme-Files, nur Brush-Resources in Views verwenden"
5.3,Alle XAML-Dateien,Multiple,Hardcoded Values,Hardcoded FontSizes (50+ Stellen),LOW,5,"FontSize='14', FontSize='13', etc. überall, keine Konsistenz","FontSize-Konstanten: FontSize.Body=13, FontSize.Title=18, etc."
5.4a,SettingsDialog.xaml,8,Hardcoded Values,Window Size Hardcoded,MEDIUM,1,"Width='800' Height='650' sind Magic Numbers für Dialog","Window-Größen in Resources definieren oder Min/Max-Werte setzen"
5.4b,InputDialog.xaml,7,Hardcoded Values,Dialog Size Hardcoded,MEDIUM,0.5,"Height='220' Width='450' Magic Numbers","Dialog-Größen standardisieren"
5.4c,DeviceDetailWindow.xaml,8,Hardcoded Values,Window Size Hardcoded,MEDIUM,0.5,"Height='750' Width='900' Magic Numbers","Größe in Resources oder relative Sizing"
5.4d,Alle Buttons,Multiple,Hardcoded Values,Button Width Magic Numbers,MEDIUM,3,"Width='100', Width='80', Width='120', etc. überall","Button.Width.Small=80, Button.Width.Normal=100, Button.Width.Large=150"
6.1,DeviceManagement/DeviceManagementTabControl.xaml,41-45,Binding Mode,DataGrid SelectedItem nicht explizit,MEDIUM,0.5,"SelectedItem={Binding SelectedClient} hat keine explizites Mode=TwoWay","Mode=TwoWay explizit setzen für Klarheit"
6.2a,DataSources/DataSourcesTabControl.xaml,29-32,Binding Mode,ComboBox SelectedValue Binding suboptimal,MEDIUM,1,"ItemsSource, DisplayMemberPath, SelectedValuePath, SelectedValue = 4 Properties","SelectedItem mit Template-Binding statt SelectedValue verwenden"
6.2b,Scheduling/SchedulingTabControl.xaml,88-91,Binding Mode,ComboBox SelectedValue Binding suboptimal,MEDIUM,1,"Layout ComboBox mit SelectedValuePath/DisplayMemberPath statt SelectedItem","SelectedItem-Pattern verwenden"
6.3a,AlertsPanel.xaml,41,Binding Mode,Button Binding ohne FallbackValue,LOW,0.5,"IsEnabled={Binding SelectedAlertRule, Converter=...} fehlt FallbackValue","FallbackValue=False hinzufuegen"
6.3b,MainWindow.xaml,205,Binding Mode,Run Text ohne FallbackValue,LOW,0.5,"SearchResultCount Binding hat keine FallbackValue bei Null","FallbackValue=0 setzen"
7.1a,Alerts/AlertsPanel.xaml,12,Converter Missbrauch,AlertSeverityToColorConverter spezialisiert,MEDIUM,1,"Converter nur für Status-Color-Mapping, könnte im ViewModel sein","Severity-UI-Properties im ViewModel als Brush definieren"
7.1b,Alerts/AlertsPanel.xaml,13,Converter Missbrauch,AlertSeverityToIconConverter spezialisiert,MEDIUM,1,"Converter nur für Icon-Emoji-Mapping, zu spezialisiert","AlertIcon-Property im ViewModel verwenden"
7.1c,Alerts/AlertsPanel.xaml,14,Converter Missbrauch,AlertRuleTypeToStringConverter spezialisiert,MEDIUM,0.5,"String-Mapping für Alert-Rule-Types in Converter","Enum.ToString() oder ViewModel-Property verwenden"
7.2,Alle Files,50+ Stellen,Converter Missbrauch,BoolToVisibilityConverter Übergebrauch,MEDIUM,5-8,"BoolToVisibilityConverter wird 50+ mal verwendet, sehr häufig instantiiert","DataTrigger in Styles verwenden statt Converter"
7.3a,MainWindow.xaml,22,Converter Missbrauch,LogLevelToColorConverter für Colors,MEDIUM,1,"Color-Mapping für Log-Levels in mehreren Stellen wiederholt","Zentrale Converter oder ViewModel-Logik"
7.3b,MainWindow.xaml,237-261,Converter Missbrauch,LogLevel DataTrigger Hardcoded,MEDIUM,1,"DataTrigger mit hardcoded Color-Werte für Log-Levels (#FF0000, etc.)","Converter oder Theme-Resources verwenden"
7.3c,MainWindow.xaml,359-371,Converter Missbrauch,LogLevelToStringConverter Wiederholung,MEDIUM,0.5,"String-Converter für Log-Levels wird mehrfach in DataTemplates verwendet","Zentrale Converter-Definition oder ViewModel-Property"
8.1,App.xaml,10,Theme System,Generic.xaml ist leer,MEDIUM,2,"Generic.xaml hat nur 3 Zeilen, sollte Basis-Styles enthalten","Basis-Button, TextBox, ComboBox, ListBox Styles in Generic.xaml"
8.2,Theme Files,N/A,Theme System,DarkTheme.xaml fehlt,HIGH,3-4,"DarkTheme.xaml nicht implementiert, nur LightTheme.xaml vorhanden","DarkTheme.xaml erstellen für vollständiges Theme-System"
8.3,Various,Various,Code-Behind,Click-Handler statt Commands,MEDIUM,2,"MainWindow.xaml: Exit_Click, CancelButton_Click etc. statt Commands","Commands im ViewModel verwenden, Click-Handler entfernen"
9.1,Scheduling/SchedulingTabControl.xaml,145,Magic Strings,Status Value hardcoded,LOW,1,"DataTrigger mit Value='Offline', Value='Online' hardcoded Strings","Constants für Status-Values definieren"
9.2,AlertsPanel.xaml,73-91,Magic Strings,IsEnabled/IsAcknowledged hardcoded,LOW,1,"DataTrigger mit Value=True/False statt symbolischen Konstanten","Boolean-Konstanten oder Enums verwenden"
